price,datetime
449.67962112,2020-11-10 23:59:59.999
462.96052774,2020-11-11 23:59:59.999
461.00527114,2020-11-12 23:59:59.999
474.62642092,2020-11-13 23:59:59.999
460.14983674,2020-11-14 23:59:59.999
447.55909533,2020-11-15 23:59:59.999
459.94031258,2020-11-16 23:59:59.999
480.36008258,2020-11-17 23:59:59.999
479.48406975,2020-11-18 23:59:59.999
471.63041968,2020-11-19 23:59:59.999
509.74457334,2020-11-20 23:59:59.999
549.48662086,2020-11-21 23:59:59.999
558.06809523,2020-11-22 23:59:59.999
608.45402857,2020-11-23 23:59:59.999
603.89774601,2020-11-24 23:59:59.999
570.68661621,2020-11-25 23:59:59.999
518.80117389,2020-11-26 23:59:59.999
517.49368769,2020-11-27 23:59:59.999
538.22980058,2020-11-28 23:59:59.999
575.75804789,2020-11-29 23:59:59.999
614.84252202,2020-11-30 23:59:59.999
587.32418713,2020-12-01 23:59:59.999
598.35234223,2020-12-02 23:59:59.999
616.70875486,2020-12-03 23:59:59.999
569.35419749,2020-12-04 23:59:59.999
596.59547474,2020-12-05 23:59:59.999
601.90899244,2020-12-06 23:59:59.999
591.84337934,2020-12-07 23:59:59.999
554.82775708,2020-12-08 23:59:59.999
573.47911163,2020-12-09 23:59:59.999
559.67850106,2020-12-10 23:59:59.999
545.79734103,2020-12-11 23:59:59.999
568.56731778,2020-12-12 23:59:59.999
589.6632225,2020-12-13 23:59:59.999
586.01115197,2020-12-14 23:59:59.999
589.35560245,2020-12-15 23:59:59.999
636.18184867,2020-12-16 23:59:59.999
642.86896702,2020-12-17 23:59:59.999
654.81192689,2020-12-18 23:59:59.999
659.29792646,2020-12-19 23:59:59.999
638.29084637,2020-12-20 23:59:59.999
609.81787165,2020-12-21 23:59:59.999
634.85419947,2020-12-22 23:59:59.999
583.71459689,2020-12-23 23:59:59.999
611.60718693,2020-12-24 23:59:59.999
626.41070163,2020-12-25 23:59:59.999
635.83583086,2020-12-26 23:59:59.999
682.6423591,2020-12-27 23:59:59.999
730.39736483,2020-12-28 23:59:59.999
731.52011874,2020-12-29 23:59:59.999
751.61897194,2020-12-30 23:59:59.999
737.80339769,2020-12-31 23:59:59.999
774.53496804,2021-01-02 23:59:59.999
975.50767291,2021-01-03 23:59:59.999
1040.23304833,2021-01-04 23:59:59.999
1100.00609944,2021-01-05 23:59:59.999
1207.11223389,2021-01-06 23:59:59.999
1225.67813488,2021-01-07 23:59:59.999
1224.19714489,2021-01-08 23:59:59.999
1281.07729102,2021-01-09 23:59:59.999
1262.24666381,2021-01-10 23:59:59.999
1090.14537315,2021-01-11 23:59:59.999
1043.43458391,2021-01-12 23:59:59.999
1130.73940242,2021-01-13 23:59:59.999
1218.45297846,2021-01-14 23:59:59.999
1171.83461074,2021-01-15 23:59:59.999
1233.53756838,2021-01-16 23:59:59.999
1230.17227237,2021-01-17 23:59:59.999
1257.27950247,2021-01-18 23:59:59.999
1377.29584154,2021-01-19 23:59:59.999
1382.27409433,2021-01-20 23:59:59.999
1121.57091957,2021-01-21 23:59:59.999
